game	team	conference	location	result
290	IND	East	Home	Win
291	CLE	East	Away	Win
291	PHI	East	Home	Loss
292	DET	East	Away	Win
292	BOS	East	Home	Loss
293	POR	West	Away	Win
293	NY	East	Home	Loss
294	BKN	East	Away	Loss
294	HOU	West	Home	Win
295	DAL	West	Away	Loss
295	SA	West	Home	Win
296	SAC	West	Away	Win
296	GS	West	Home	Loss
297	LAL	West	Away	Loss
297	LAC	West	Home	Win
298	MIA	East	Away	Loss
298	CLE	East	Home	Win
299	PHO	West	Away	Win
299	CHI	East	Home	Loss
300	WAS	East	Away	Win
300	MIN	West	Home	Loss
301	MIL	East	Away	Win
301	SAC	West	Home	Loss
302	DEN	West	Away	Loss
302	UTA	West	Home	Win
303	PHO	West	Away	Loss
303	DET	East	Home	Win
304	OKC	West	Away	Loss
304	ORL	East	Home	Win
305	WAS	East	Away	Loss
305	PHI	East	Home	Win
306	MIA	East	Away	Loss
306	NY	East	Home	Win
307	CHA	East	Away	Loss
307	TOR	East	Home	Win
308	IND	East	Away	Loss
308	HOU	West	Home	Win
309	MIN	West	Away	Win
309	NO	West	Home	Loss
310	BKN	East	Away	Win
310	DAL	West	Home	Loss
311	MEM	West	Away	Loss
311	SA	West	Home	Win
312	GS	West	Away	Win
312	LAL	West	Home	Loss
313	CLE	East	Away	Win
313	ATL	East	Home	Loss
314	PHI	East	Away	Loss
314	BOS	East	Home	Win
315	CHI	East	Away	Loss
315	DEN	West	Home	Win
316	MIL	East	Away	Win
316	POR	West	Home	Loss
317	UTA	West	Away	Win
317	LAC	West	Home	Loss
318	GS	West	Away	Win
318	ORL	East	Home	Loss
319	DET	East	Away	Loss
319	WAS	East	Home	Win
320	IND	East	Away	Loss
320	TOR	East	Home	Win
321	SAC	West	Away	Win
321	CHI	East	Home	Loss
322	SA	West	Away	Win
322	MEM	West	Home	Loss
323	CHA	East	Away	Loss
323	MIA	East	Home	Win
324	MIN	West	Away	Loss
324	OKC	West	Home	Win
325	NO	West	Away	Loss
325	UTA	West	Home	Win
326	PHO	West	Away	Loss
326	BOS	East	Home	Win
327	LAC	West	Away	Loss
327	DAL	West	Home	Win
328	ATL	East	Away	Win
328	BKN	East	Home	Loss
329	MEM	West	Away	Loss
329	CLE	East	Home	Win
330	DET	East	Away	Loss
330	PHI	East	Home	Win
331	SAC	West	Away	Loss
331	MIL	East	Home	Win
332	LAL	West	Away	Loss
332	DEN	West	Home	Win
333	NO	West	Away	Win
333	POR	West	Home	Loss
334	ORL	East	Away	Win
334	NY	East	Home	Loss
335	GS	West	Away	Win
335	MIA	East	Home	Loss
336	LAC	West	Away	Loss
336	MIN	West	Home	Win
337	SA	West	Away	Loss
337	OKC	West	Home	Win
338	HOU	West	Away	Win
338	LAL	West	Home	Loss
339	ORL	East	Away	Loss
339	CHA	East	Home	Win
340	NY	East	Away	Loss
340	IND	East	Home	Win
341	PHO	West	Away	Win
341	PHI	East	Home	Loss
342	BKN	East	Away	Win
342	ATL	East	Home	Loss
343	MIL	East	Away	Loss
343	BOS	East	Home	Win
344	CLE	East	Away	Win
344	CHI	East	Home	Loss
345	MIN	West	Away	Loss
345	MEM	West	Home	Win
346	GS	West	Away	Win
346	NO	West	Home	Loss
347	DEN	West	Away	Loss
347	DAL	West	Home	Win
348	DET	East	Away	Loss
348	SA	West	Home	Win
349	WAS	East	Away	Loss
349	UTA	West	Home	Win
350	PHO	West	Away	Loss
350	TOR	East	Home	Win
351	UTA	West	Away	Loss
351	OKC	West	Home	Win
352	WAS	East	Away	Win
352	POR	West	Home	Loss
353	SAC	West	Away	Loss
353	CLE	East	Home	Win
354	CHI	East	Away	Loss
354	IND	East	Home	Win
355	ATL	East	Away	Loss
355	ORL	East	Home	Win
356	DAL	West	Away	Loss
356	BOS	East	Home	Win
357	MEM	West	Away	Loss
357	NY	East	Home	Win
358	GS	West	Away	Win
358	CHA	East	Home	Loss
359	DET	East	Away	Loss
359	MIL	East	Home	Win
360	DEN	West	Away	Loss
360	NO	West	Home	Win
361	MIA	East	Away	Loss
361	SA	West	Home	Win
362	MIN	West	Away	Win
362	LAC	West	Home	Loss
363	LAL	West	Away	Win
363	PHI	East	Home	Loss
364	WAS	East	Away	Win
364	PHO	West	Home	Loss
365	OKC	West	Away	Loss
365	BKN	East	Home	Win
366	HOU	West	Away	Win
366	UTA	West	Home	Loss
367	CHI	East	Away	Win
367	CHA	East	Home	Loss
368	GS	West	Away	Win
368	DET	East	Home	Loss
369	CLE	East	Away	Loss
369	IND	East	Home	Win
370	DEN	West	Away	Win
370	ORL	East	Home	Loss
371	TOR	East	Away	Win
371	MEM	West	Home	Loss
372	DAL	West	Away	Loss
372	MIL	East	Home	Win
373	SAC	West	Away	Win
373	NO	West	Home	Loss
374	BOS	East	Away	Loss
374	SA	West	Home	Win
375	WAS	East	Away	Loss
375	LAC	West	Home	Win
376	MIA	East	Away	Win
376	BKN	East	Home	Loss
377	LAL	West	Away	Win
377	CHA	East	Home	Loss
378	ORL	East	Away	Loss
378	ATL	East	Home	Win
379	NY	East	Away	Loss
379	CHI	East	Home	Win
380	PHI	East	Away	Loss
380	CLE	East	Home	Win
381	UTA	West	Away	Loss
381	MIL	East	Home	Win
382	OKC	West	Away	Win
382	MEM	West	Home	Loss
383	SA	West	Away	Win
383	PHO	West	Home	Loss
384	HOU	West	Away	Win
384	POR	West	Home	Loss
385	TOR	East	Away	Win
385	SAC	West	Home	Loss
386	BOS	East	Away	Win
386	DET	East	Home	Loss
387	DEN	West	Away	Loss
387	IND	East	Home	Win
388	DAL	West	Away	Loss
388	MIN	West	Home	Win
389	PHI	East	Away	Loss
389	NO	West	Home	Win
390	ATL	East	Away	Loss
390	NY	East	Home	Win
391	BOS	East	Away	Loss
391	CHI	East	Home	Win
392	NO	West	Away	Loss
392	HOU	West	Home	Win
393	MIA	East	Away	Win
393	MEM	West	Home	Loss
